"","Genes","detection_rate","log2_dec_rate"
"1","Dpyd",1,0.000144262291094538
"2","Ptprd",1,0.000144262291094538
"3","Adk",1,0.000144262291094538
"4","Immp2l",1,0.000144262291094538
"5","Gphn",1,0.000144262291094538
"6","Ghr",1,0.000144262291094538
"7","Zbtb20",1,0.000144262291094538
"8","Gm42418",1,0.000144262291094538
"9","Malat1",1,0.000144262291094538
"10","Pid1",0.999,-0.00129901017910335
"11","Nfia",0.999,-0.00129901017910335
"12","Luc7l2",0.999,-0.00129901017910335
"13","Pard3",0.999,-0.00129901017910335
"14","Thrb",0.999,-0.00129901017910335
"15","Neat1",0.999,-0.00129901017910335
"16","Rabgap1l",0.998,-0.00274372794542711
"17","Magi1",0.998,-0.00274372794542711
"18","Egfr",0.998,-0.00274372794542711
"19","Fbxl17",0.998,-0.00274372794542711
"20","Abcc2",0.998,-0.00274372794542711
"21","Hmgcs2",0.997,-0.00418989390542383
"22","Nfib",0.997,-0.00418989390542383
"23","Cyp3a25",0.997,-0.00418989390542383
"24","Nr1h4",0.997,-0.00418989390542383
"25","Vwa8",0.997,-0.00418989390542383
"26","Iqgap2",0.997,-0.00418989390542383
"27","Ppara",0.997,-0.00418989390542383
"28","Sox5",0.996,-0.00563751096536291
"29","Atxn1",0.996,-0.00563751096536291
"30","Plcb1",0.995,-0.00708658204027108
"31","Atp11c",0.995,-0.00708658204027108
"32","Fggy",0.995,-0.00708658204027108
"33","Acox1",0.995,-0.00708658204027108
"34","Prr16",0.995,-0.00708658204027108
"35","9030622O22Rik",0.994,-0.00853711005396763
"36","Klf12",0.994,-0.00853711005396763
"37","Agmo",0.994,-0.00853711005396763
"38","Acsl1",0.993,-0.00998909793909982
"39","Lonp2",0.993,-0.00998909793909982
"40","Ttc39c",0.993,-0.00998909793909982
"41","Slc25a13",0.992,-0.0114425486371784
"42","Dennd5b",0.992,-0.0114425486371784
"43","Ptprk",0.992,-0.0114425486371784
"44","Rbm47",0.991,-0.0128974650986136
"45","Gc",0.991,-0.0128974650986136
"46","Mug1",0.991,-0.0128974650986136
"47","Pzp",0.991,-0.0128974650986136
"48","Cdh2",0.991,-0.0128974650986136
"49","Rapgef4",0.99,-0.0143538502827505
"50","Cat",0.99,-0.0143538502827505
"51","Cped1",0.99,-0.0143538502827505
"52","Rsrp1",0.989,-0.0158117071579059
"53","Arid5b",0.989,-0.0158117071579059
"54","Mtus1",0.989,-0.0158117071579059
"55","Psd3",0.989,-0.0158117071579059
"56","Ptprg",0.988,-0.0172710387014041
"57","Apob",0.988,-0.0172710387014041
"58","Mia2",0.988,-0.0172710387014041
"59","Slc22a30",0.988,-0.0172710387014041
"60","A1cf",0.988,-0.0172710387014041
"61","Rere",0.987,-0.0187318478996134
"62","Mtss1",0.986,-0.0201941377479831
"63","Cfh",0.985,-0.02165791125108
"64","Arhgap42",0.985,-0.02165791125108
"65","Mlxipl",0.984,-0.0231231714226256
"66","Lncpint",0.984,-0.0231231714226256
"67","Ext1",0.984,-0.0231231714226256
"68","Slc27a2",0.982,-0.0260581638719462
"69","Akap13",0.982,-0.0260581638719462
"70","St3gal4",0.982,-0.0260581638719462
"71","Cmah",0.982,-0.0260581638719462
"72","Dock4",0.982,-0.0260581638719462
"73","Zfand3",0.982,-0.0260581638719462
"74","Errfi1",0.981,-0.0275279022232736
"75","Slco1b2",0.981,-0.0275279022232736
"76","Bckdhb",0.981,-0.0275279022232736
"77","Atxn2",0.979,-0.0304718784328731
"78","Naaladl2",0.978,-0.0319461224206406
"79","Sox6",0.978,-0.0319461224206406
"80","Rbm39",0.977,-0.0334218744323899
"81","Abcd3",0.977,-0.0334218744323899
"82","Zcchc7",0.977,-0.0334218744323899
"83","Ankrd17",0.977,-0.0334218744323899
"84","Adipor2",0.977,-0.0334218744323899
"85","Mat1a",0.977,-0.0334218744323899
"86","Fam214a",0.977,-0.0334218744323899
"87","Sntb1",0.977,-0.0334218744323899
"88","Park2",0.977,-0.0334218744323899
"89","Rnf169",0.976,-0.0348991375564365
"90","Sord",0.975,-0.0363779148905924
"91","Lpp",0.975,-0.0363779148905924
"92","Chd9",0.974,-0.0378582095422052
"93","Ralgapa2",0.973,-0.0393400246281973
"94","Chchd3",0.973,-0.0393400246281973
"95","Ces3a",0.973,-0.0393400246281973
"96","Rbfox2",0.973,-0.0393400246281973
"97","Mob3b",0.972,-0.0408233632751055
"98","Alb",0.972,-0.0408233632751055
"99","Nr3c2",0.972,-0.0408233632751055
"100","Epb41",0.971,-0.0423082286191202
"101","Tmcc1",0.971,-0.0423082286191202
"102","Slc7a2",0.971,-0.0423082286191202
"103","Sik3",0.971,-0.0423082286191202
"104","Msra",0.97,-0.0437946238061253
"105","Kansl1",0.97,-0.0437946238061253
"106","Hgd",0.97,-0.0437946238061253
"107","Mllt10",0.969,-0.0452825519917386
"108","Diaph2",0.967,-0.0482630200301687
"109","Hsd3b3",0.967,-0.0482630200301687
"110","Suclg2",0.967,-0.0482630200301687
"111","Foxp1",0.967,-0.0482630200301687
"112","Man2a1",0.967,-0.0482630200301687
"113","Ddi2",0.965,-0.0512496581755548
"114","Vps13b",0.965,-0.0512496581755548
"115","Tcf7l2",0.965,-0.0512496581755548
"116","Gm26917",0.964,-0.0527452990319717
"117","Snd1",0.963,-0.0542424920273724
"118","Deptor",0.963,-0.0542424920273724
"119","Gbe1",0.962,-0.0557412403866465
"120","Gm4951",0.962,-0.0557412403866465
"121","Wwox",0.961,-0.0572415473447447
"122","Glud1",0.961,-0.0572415473447447
"123","Dip2c",0.961,-0.0572415473447447
"124","Kynu",0.96,-0.0587434161467207
"125","Smarca2",0.96,-0.0587434161467207
"126","Plpp3",0.959,-0.060246850047773
"127","Sugct",0.959,-0.060246850047773
"128","Plg",0.959,-0.060246850047773
"129","Ttr",0.959,-0.060246850047773
"130","Fn1",0.958,-0.0617518523132876
"131","Magi3",0.958,-0.0617518523132876
"132","Rbm25",0.958,-0.0617518523132876
"133","Cps1",0.957,-0.0632584262188805
"134","B3galt1",0.957,-0.0632584262188805
"135","Uox",0.957,-0.0632584262188805
"136","Macf1",0.957,-0.0632584262188805
"137","Pah",0.957,-0.0632584262188805
"138","Bcas3",0.957,-0.0632584262188805
"139","Acbd5",0.956,-0.0647665750504401
"140","Sorbs2",0.956,-0.0647665750504401
"141","Arhgef12",0.956,-0.0647665750504401
"142","Abcb4",0.955,-0.0662763021041709
"143","Mgst1",0.954,-0.0677876106866359
"144","Pcyt2",0.954,-0.0677876106866359
"145","Ahsg",0.954,-0.0677876106866359
"146","Ncoa2",0.953,-0.0693005041148006
"147","Man1a",0.953,-0.0693005041148006
"148","Erbb4",0.952,-0.0708149857160768
"149","Sh3d19",0.952,-0.0708149857160768
"150","Plekha5",0.952,-0.0708149857160768
"151","Apoe",0.952,-0.0708149857160768
"152","Slc25a21",0.952,-0.0708149857160768
"153","Chsy3",0.951,-0.0723310588283658
"154","Serpinc1",0.95,-0.0738487268001033
"155","Sult2a8",0.95,-0.0738487268001033
"156","Gm20319",0.948,-0.0768888607686035
"157","Tbc1d5",0.948,-0.0768888607686035
"158","Rbp4",0.948,-0.0768888607686035
"159","Celf1",0.947,-0.0784113335153082
"160","Jmjd1c",0.946,-0.079935414621436
"161","Insr",0.946,-0.079935414621436
"162","Tnrc6b",0.946,-0.079935414621436
"163","Arid1b",0.946,-0.079935414621436
"164","Gfra1",0.946,-0.079935414621436
