"","gene_symbol","mean_rank","median_rank","direction_foldchange"
"1","Tm7sf2",291.166666666667,71.5,-1
"2","Serpina1a",319.611111111111,156,-1
"3","Iqgap1",350.388888888889,199,1
"4","Cd36",380.111111111111,40.5,1
"5","Adgrf1",382.444444444444,200,-1
"6","Srxn1",395.722222222222,143.5,1
"7","Cfhr2",409.722222222222,232,-1
"8","Serpina1e",418.111111111111,173,-1
"9","Nudt7",442.055555555556,125,-1
"10","Aadat",442.611111111111,244,-1
"11","Hes6",449.333333333333,173,-1
"12","Apoa4",453.833333333333,155,1
"13","Hsd17b2",472.055555555556,332.5,-1
"14","Serpinc1",479.5,274,-1
"15","Lifr",484.5,255.5,-1
"16","Cyp7b1",494.555555555556,343,-1
"17","C8b",507.111111111111,313,-1
"18","Mcm10",524.333333333333,458,-1
"19","Slc22a30",530.666666666667,242.5,-1
"20","Hsd3b5",546.055555555556,540.5,-1
"21","Nrg1",546.388888888889,141.5,1
"22","Stk10",548.277777777778,232,1
"23","Asl",551.5,260.5,-1
"24","Ddt",554.277777777778,441.5,-1
"25","Plekha1",554.388888888889,446,1
"26","Qdpr",560.5,242,-1
"27","Ces3b",566.555555555556,281.5,-1
"28","Fam47e",568.444444444444,402.5,-1
"29","Ano6",568.833333333333,341,1
"30","Tmem43",578.777777777778,123.5,1
"31","C8g",582.222222222222,252,-1
"32","Gnmt",584,76.5,-1
"33","Tlcd2",584.611111111111,401.5,-1
"34","Mpv17l",585.166666666667,232.5,-1
"35","Ebp",585.444444444444,378.5,-1
"36","Rtn4",588.222222222222,277,1
"37","Scrn2",588.722222222222,505,-1
"38","1300017J02Rik",592.055555555556,379.5,-1
"39","Itgb5",592.222222222222,509.5,1
"40","Gas6",593,550.5,1
"41","Selenbp2",600.222222222222,393,-1
"42","Serpina1c",600.555555555556,546,-1
"43","Cfhr1",607.888888888889,487,-1
"44","Il1rap",611.055555555556,443.5,-1
"45","AI182371",612.666666666667,405,-1
"46","Psap",614.388888888889,426.5,1
"47","Osbpl3",616.555555555556,296.5,1
"48","Serpinb6a",619.5,446.5,1
"49","Haus8",620.833333333333,393,1
"50","Slc22a28",625.222222222222,540,-1
"51","Pipox",625.277777777778,656.5,-1
"52","Map4k4",628.166666666667,182.5,1
"53","Ghr",629,443.5,-1
"54","Gjb1",633,494,-1
"55","Cyp2a22",637.944444444444,338.5,1
"56","Ppm1h",638.388888888889,422.5,1
"57","Ugt2a3",640.5,388,-1
"58","Sucnr1",641.555555555556,515,-1
"59","Cyp2u1",642,211.5,-1
"60","Cyp2c67",645.166666666667,574,-1
"61","Serpina1b",646.388888888889,425.5,-1
"62","Aadac",648.722222222222,478.5,-1
"63","Setd7",654.111111111111,388.5,1
"64","F2",659.111111111111,562.5,-1
"65","Ugt2b1",663.055555555556,551.5,-1
"66","Dmpk",670,429.5,1
