"","score","model","condition"
"1",-0.424699521218165,"Aging","6"
"2",-0.368964902785884,"Aging","6"
"3",-0.429580753793041,"Aging","1"
"4",-0.312166216774032,"Aging","3"
"5",-0.424846982470157,"Aging","3"
"6",-0.275663357450838,"Aging","15"
"7",-0.420500430150555,"Aging","12"
"8",-0.38020411192439,"Aging","21"
"9",-0.342190197163011,"Aging","18"
"10",-0.387434905478098,"Aging","18"
"11",-0.301267051645028,"Aging","3"
"12",-0.320627368217017,"Aging","27"
"13",-0.335116930852805,"Aging","1"
"14",-0.293183183181427,"Aging","12"
"15",-0.34242371971814,"Aging","27"
"16",-0.409955797170544,"Aging","15"
"17",-0.40668708899733,"Aging","3"
"18",-0.406866073893488,"Aging","12"
"19",-0.0235990932497662,"Aging","18"
"20",-0.26684054838456,"Aging","15"
"21",-0.367377705822509,"Aging","9"
"22",-0.39670368215724,"Aging","24"
"23",-0.344342103398294,"Aging","21"
"24",-0.397584560388421,"Aging","12"
"25",-0.338594272783548,"Aging","21"
"26",-0.444010885489287,"Aging","6"
"27",-0.333300639980664,"Aging","27"
"28",-0.426760641827634,"Aging","1"
"29",-0.412484424275291,"Aging","15"
"30",-0.334304155650043,"Aging","1"
"31",-0.347608306445796,"Aging","24"
"32",-0.422250772207437,"Aging","1"
"33",-0.261593408245495,"Aging","18"
"34",-0.370181289156926,"Aging","18"
"35",-0.278046313607441,"Aging","6"
"36",-0.254385518234121,"Aging","21"
"37",-0.395358185960947,"Aging","9"
"38",-0.403504903512273,"Aging","21"
"39",-0.251899221580436,"Aging","21"
"40",-0.315720535271868,"Aging","12"
"41",-0.258695409939714,"Aging","18"
"42",-0.340462973095021,"Aging","6"
"43",-0.412913466855949,"Aging","9"
"44",-0.270485233362662,"Aging","6"
"45",-0.403241225222089,"Aging","15"
"46",-0.409797818289592,"Aging","12"
"47",-0.372810709393571,"Aging","15"
"48",-0.415673208865821,"Aging","3"
"49",-0.369870705555757,"Aging","27"
"50",-0.322188730868418,"Aging","24"
"51",-0.425275118526725,"Aging","3"
"52",-0.413310654375032,"Aging","1"
"53",-0.225380191492069,"Aging","9"
"54",-0.310014014862433,"Aging","9"
"55",-0.285310720034669,"Aging","9"
