"","score","model","condition","GEOid"
"1",-0.363296139898845,"EtOH","control","GSE97234"
"2",-0.382043181601298,"EtOH","control","GSE97234"
"3",-0.35347160988644,"EtOH","control","GSE97234"
"4",-0.352019061933391,"EtOH","control","GSE97234"
"5",-0.0801569806279225,"EtOH","ASH","GSE97234"
"6",-0.103540151732035,"EtOH","ASH","GSE97234"
"7",-0.0687011403759901,"EtOH","ASH","GSE97234"
"8",-0.0332201545949041,"EtOH","AH","GSE97234"
"9",-0.0781771638515125,"EtOH","AH","GSE97234"
"10",-0.0375401994465121,"EtOH","AH","GSE97234"
"11",-0.458871589487665,"CCl4","Oil Normal diet 12 weeks liver","GSE99010"
"12",-0.263727365408954,"CCl4","CCl4 Normal diet 12 weeks liver","GSE99010"
"13",-0.372603765877411,"CCl4","Oil Western diet 12 weeks liver","GSE99010"
"14",-0.255524139918083,"CCl4","CCl4 Western diet 12 weeks liver","GSE99010"
"15",-0.461943853639899,"CCl4","Oil Normal diet 24 weeks liver","GSE99010"
"16",-0.162775730594738,"CCl4","CCl4 Normal diet 24 weeks liver","GSE99010"
"17",-0.364016977058801,"CCl4","Oil Western diet 24 weeks liver","GSE99010"
"18",-0.16950707777806,"CCl4","CCl4 Western diet 24 weeks liver","GSE99010"
"19",-0.102091696354511,"CCl4","CCl4 Western diet 24 weeks hepatocellular carcinoma","GSE99010"
"20",-0.194670667899673,"CCl4","CCl4 Western diet 24 weeks hepatocellular carcinoma","GSE99010"
"21",-0.401963103122044,"DDC","BD -","GSE119953"
"22",-0.406220435193945,"DDC","BD -","GSE119953"
"23",-0.407954903815831,"DDC","BD -","GSE119953"
"24",-0.392916272469253,"DDC","BD -","GSE119953"
"25",-0.143001509582228,"DDC","DDC -","GSE119953"
"26",-0.113020082096458,"DDC","DDC -","GSE119953"
"27",-0.16950727908143,"DDC","DDC -","GSE119953"
"28",-0.144810164864991,"DDC","DDC -","GSE119953"
"29",-0.397686061179439,"DDC","BD BD","GSE119953"
"30",-0.406929990539262,"DDC","BD BD","GSE119953"
"31",-0.397055345316935,"DDC","BD BD","GSE119953"
"32",-0.373088142541785,"DDC","BD BD","GSE119953"
"33",-0.373206401766004,"DDC","BD BD","GSE119953"
"34",-0.326819964224969,"DDC","BD HFD","GSE119953"
"35",-0.349057157332589,"DDC","BD HFD","GSE119953"
"36",-0.342960021919961,"DDC","BD HFD","GSE119953"
"37",-0.352348576494978,"DDC","BD HFD","GSE119953"
"38",-0.380329032057943,"DDC","BD HFD","GSE119953"
"39",-0.343242228494915,"DDC","BD HFD","GSE119953"
"40",-0.248644607120885,"DDC","BD HFD/EtOH","GSE119953"
"41",-0.255352037677518,"DDC","BD HFD/EtOH","GSE119953"
"42",-0.247776403472039,"DDC","BD HFD/EtOH","GSE119953"
"43",-0.249508351815376,"DDC","BD HFD/EtOH","GSE119953"
"44",-0.372639532960074,"DDC","DDC BD","GSE119953"
"45",-0.358544132016068,"DDC","DDC BD","GSE119953"
"46",-0.343967680981849,"DDC","DDC BD","GSE119953"
"47",-0.335238728538859,"DDC","DDC BD","GSE119953"
"48",-0.36015271595556,"DDC","DDC BD","GSE119953"
"49",-0.319942317932493,"DDC","DDC HFD","GSE119953"
"50",-0.287680167604986,"DDC","DDC HFD","GSE119953"
"51",-0.296350184303447,"DDC","DDC HFD","GSE119953"
"52",-0.311200699474231,"DDC","DDC HFD","GSE119953"
"53",-0.296191988357606,"DDC","DDC HFD","GSE119953"
"54",-0.301606386773578,"DDC","DDC HFD","GSE119953"
